機構代碼,機構名稱,電話,縣市區名,地址,科別
3801012754,頤鳴堂中醫診所,02-27199339,臺北市松山區,臺北市松山區長春路446號(1樓),"中醫一般科,"
3701014345,杏頤牙醫診所,,臺北市松山區,臺北市松山區復興北路361巷2之1號(1樓),"牙醫一般科,"
3501015311,禾玥醫學診所,988863238,臺北市松山區,臺北市松山區南京東路3段269巷6號1樓,"西醫一般科,"
3501015544,微醫未來美學診所,27680205,臺北市松山區,臺北市松山區南京東路5段166、168號11樓,"西醫一般科,"
3701014381,安悅美學牙醫診所,2545-3789,臺北市松山區,臺北市松山區南京東路4段77號1樓,"牙醫一般科,"
3501015562,畇力診所,,臺北市松山區,臺北市松山區富錦街512號1樓,"家庭醫學科,"
3501015419,嬌妮美診所,27531155,臺北市松山區,臺北市松山區南京東路5段3號9樓,"西醫一般科,"
3501015204,吉祥預防醫學診所,,臺北市松山區,臺北市松山區南京東路三段303巷6弄9號1樓,"西醫一般科,"
3501014494,美仕媞時尚醫美診所,27187779,臺北市松山區,臺北市松山區敦化北路244巷33號1樓,"整形外科,"
3501015106,泰安親親家庭診所,27605036,臺北市松山區,臺北市松山區光復北路97號,"西醫一般科,"
3701011808,宏昌牙醫診所,225794491,臺北市松山區,臺北市松山區延吉街４９號,"牙醫一般科,"
3701011791,毛冠人牙醫診所,227624686,臺北市松山區,臺北市松山區南京東路五段２３巷１８號,"牙醫一般科,"
3501014234,蘋果樹醫美診所,27163535,臺北市松山區,臺北市松山區南京東路三段309號3樓,"家庭醫學科,"
3501014243,何兆芬健康診所,25451611,臺北市松山區,臺北市松山區南京東路四段47號2樓,"內科,"
3501014154,安德復復健專科診所,02-7729-2289,臺北市松山區,臺北市松山區光復北路181號地下二層,"復健科,"
3701011371,高登牙醫診所,227188501,臺北市松山區,臺北市松山區民權東路三段１６６號１樓,"牙醫一般科,"
3701013419,南加州牙醫診所,25772323,臺北市松山區,臺北市松山區敦化南路一段69號2樓、67號2樓,"牙醫一般科,"
3701013599,康和牙醫診所,25783338,臺北市松山區,臺北市松山區八德路3段241號1、2樓,"牙醫一般科,"
3701014247,大衛牙醫診所,27660709,臺北市松山區,臺北市松山區富錦街527號1樓,"牙醫一般科,"
3501014878,悠適復健科診所,02-27493088,臺北市松山區,臺北市松山區光復北路11巷65號1樓、67號1樓,"復健科,"
3801012272,弘祐中醫診所,2570-3969,臺北市松山區,臺北市松山區八德路三段12巷4弄15號,"中醫一般科,"
3501015517,麗得醫美整形外科診所,27606101,臺北市松山區,臺北市松山區南京東路5段1號5樓,"整形外科,"
1101010021,基督復臨安息日會醫療財團法人臺安醫院,227718151,臺北市松山區,"臺北市松山區八德路二段424,426號","家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,急診醫學科,整形外科,職業醫學科,牙醫一般科,"
3801012549,慈和中醫診所,02-27472788,臺北市松山區,臺北市松山區八德路四段245巷32弄65號,"中醫一般科,"
3701014309,鉑金牙醫診所,25779550,臺北市松山區,臺北市松山區八德路3段164號1樓、164之1號(1樓),"牙醫一般科,"
3501015384,南京小岩井診所,02-25450610,臺北市松山區,臺北市松山區南京東路3段303巷8弄6號1樓,"西醫一般科,"
3701013848,泰華牙醫診所,25786785,臺北市松山區,臺北市松山區光復北路38號,"牙醫一般科,"
3801012049,仲佑中醫診所,25706899,臺北市松山區,臺北市松山區八德路三段２12號１樓,"中醫一般科,"
3701012056,藍明賢牙醫診所,287123003,臺北市松山區,臺北市松山區敦化北路２２２巷１之１號１樓,"牙醫一般科,"
1101010012,長庚醫療財團法人台北長庚紀念醫院,227135211,臺北市松山區,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,核子醫學科,急診醫學科,整形外科,西醫一般科,牙醫一般科,中醫一般科,"
3501014770,髮王植髮診所,2546-8989,臺北市松山區,臺北市松山區慶城街21之3號3樓,"西醫一般科,"
3701013562,原點牙醫診所,25459810,臺北市松山區,臺北市松山區慶城街16巷1號,"牙醫一般科,"
3701010829,生春牙醫診所,227658817,臺北市松山區,臺北市松山區南京東路五段139號,"牙醫一般科,"
3701013240,康霖牙醫診所,25289366,臺北市松山區,臺北市松山區延壽街４３０號,"牙醫一般科,"
3501012829,英爵聯合診所,227131808,臺北市松山區,臺北市松山區南京東路3段331號2樓,"皮膚科,"
501010019,三軍總醫院松山分院附設民眾診療服務處,227462151,臺北市松山區,臺北市松山區健康路１３１號,"家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,解剖病理科,臨床病理科,急診醫學科,牙醫一般科,"
3701013740,采德牙醫診所,27493299,臺北市松山區,臺北市松山區南京東路五段106號2樓,"牙醫一般科,"
3501010209,趙耳鼻喉科診所,227568572,臺北市松山區,臺北市松山區八德路四段６４９號一樓,"耳鼻喉科,"
3501011199,民生翁耳鼻喉科診所,227625922,臺北市松山區,臺北市松山區民生東路五段78號1樓,"耳鼻喉科,"
3701010294,得揚牙醫診所,227616784,臺北市松山區,臺北市松山區三民路１３６巷４２號,"牙醫一般科,"
3501015508,君綺國際診所,25798200,臺北市松山區,臺北市松山區敦化南路1段25號2樓,"外科,"
3501015428,佳利安診所,27182578,臺北市松山區,臺北市松山區南京東路3段305號8樓,"西醫一般科,"
3801012610,民昇中醫診所,02-37656099,臺北市松山區,臺北市松山區民生東路五段87號,"中醫一般科,"
3701014265,博飛迅牙醫診所,02-27488933,臺北市松山區,臺北市松山區八德路4段666號7樓之2,"牙醫一般科,"
3501015535,韓后國際健康醫美診所,27116299,臺北市松山區,臺北市松山區復興北路69號10樓,"西醫一般科,"
3501015375,佳思優醫美整形診所,27095585,臺北市松山區,臺北市松山區敦化北路8號1樓(1、2層),"整形外科,"
3701014256,佳斯緹牙醫診所,,臺北市松山區,臺北市松山區民生東路3段113巷6弄5號1樓,"牙醫一般科,"
3701014292,勤美民生牙醫診所,,臺北市松山區,臺北市松山區民生東路5段58號1樓,"牙醫一般科,"
3501015482,馥之美診所,02-77091355,臺北市松山區,臺北市松山區慶城街24之1號5樓,"西醫一般科,"
3701011933,虹福牙醫診所,227721267,臺北市松山區,臺北市松山區市民大道四段５３號,"牙醫一般科,"
3801012692,春日和中醫診所,27790189,臺北市松山區,臺北市松山區復興北路81巷35號1樓,"中醫一般科,"
3501014092,松原復健診所,87123552,臺北市松山區,臺北市松山區光復北路206號,"復健科,"
3801012629,伍德中醫診所,,臺北市松山區,臺北市松山區健康路231號,"中醫一般科,"
3501015053,原邑診所,27472985,臺北市松山區,臺北市松山區健康路325巷6弄21號,"內科,"
3501015526,南京安澐診所,02-27667800,臺北市松山區,臺北市松山區健康路303號(1樓),"西醫一般科,"
3701014318,金欣牙醫診所,25779660,臺北市松山區,臺北市松山區八德路3段164號1樓、164之1號(1樓),"牙醫一般科,"
3701014201,繼康美學牙醫診所,27566558,臺北市松山區,臺北市松山區延壽街337號1樓,"牙醫一般科,"
3501015580,尚安診所,25185210,臺北市松山區,臺北市松山區復興北路331號4樓,"皮膚科,"
3701014372,新和牙醫診所,02-27425199,臺北市松山區,臺北市松山區三民路74巷1之1號(1樓),"牙醫一般科,"
3501015473,守葳診所,27505775,臺北市松山區,臺北市松山區南京東路3段256巷46號1、2樓,"西醫一般科,"
3701014363,允品牙醫診所,,臺北市松山區,臺北市松山區民生東路5段21號(1樓),"牙醫一般科,"
3501015437,安德森整形外科診所,27123373,臺北市松山區,臺北市松山區復興北路337號3樓,"外科,整形外科,"
3501015133,弘宇診所,02-27128875,臺北市松山區,臺北市松山區民權東路3段160巷2之6號(1樓),"家庭醫學科,"
3701014229,光與綠牙醫診所,02-25015018,臺北市松山區,臺北市松山區復興北路361巷8號1樓,"牙醫一般科,"
3501010478,王俊彰耳鼻喉科診所,227665698,臺北市松山區,臺北市松山區民生東路五段１７號,"耳鼻喉科,"
3701011899,冠亞牙醫診所,225794183,臺北市松山區,臺北市松山區八德路三段207號1樓,"牙醫一般科,"
3501013817,景賀醫美診所,8787-1660,臺北市松山區,臺北市松山區光復北路125號1樓,"西醫一般科,"
3501015571,姿晨健康美學診所,27121206,臺北市松山區,臺北市松山區民生東路3段101號2樓、2樓之1及2樓之2,"西醫一般科,"
3501015455,宸曜診所,25467926,臺北市松山區,臺北市松山區敦化北路155巷8號1、2樓,"家庭醫學科,"
3501015491,蘭瑞診所,25791898,臺北市松山區,臺北市松山區敦化南路1段25號3樓,"內科,"
3701011184,延齡牙醫診所,227666700,臺北市松山區,臺北市松山區延壽街１２５號,"牙醫一般科,"
3501014743,延壽耳鼻喉科診所,87878431,臺北市松山區,臺北市松山區延壽街113號,"耳鼻喉科,"
3701014238,嘉一牙醫診所,02-27665636,臺北市松山區,臺北市松山區新東街11巷3號1樓,"牙醫一般科,"
3701011451,蔡嘉倫牙醫診所,227138800,臺北市松山區,臺北市松山區民生東路三段１１６號３樓,"牙醫一般科,"
3501013059,親親家庭診所,25283232,臺北市松山區,臺北市松山區南京東路五段347號,"西醫一般科,"
3501015277,聯欣診所,02-25703933,臺北市松山區,臺北市松山區南京東路4段16號5樓,"西醫一般科,"
3701010043,大統牙醫診所,225784422,臺北市松山區,臺北市松山區八德路三段２２５號２樓－４,"牙醫一般科,"
3501015268,依定美時尚診所,,臺北市松山區,臺北市松山區八德路3段2號2樓,"西醫一般科,"
3801012718,民生漢唐中醫診所,02-27475629,臺北市松山區,臺北市松山區民生東路5段138巷3號2樓之5,"中醫一般科,"
3501015197,康健診所,25779682,臺北市松山區,臺北市松山區延吉街9之4號(1樓)及11號2樓,"復健科,"
3801012709,爾雅中醫診所,,臺北市松山區,臺北市松山區慶城街24號5樓,"中醫一般科,"
3801012674,渼生堂中醫診所,02-25794195,臺北市松山區,臺北市松山區八德路3段138號(1、2樓),"中醫一般科,"
3501015302,瑞麗嘉健康美學慶中診所,25450522,臺北市松山區,臺北市松山區南京東路3段259號5樓,"婦產科,"
3701014210,怡德牙醫診所,27639109,臺北市松山區,臺北市松山區八德路4段226號(1樓),"牙醫一般科,"
3801012638,欣悅中醫診所,02-87707080,臺北市松山區,臺北市松山區南京東路4段193號1樓,"中醫一般科,"
3701010605,丘牙醫診所,227675801,臺北市松山區,臺北市松山區民生東路五段２２２號,"牙醫一般科,"
3501014869,W頂尖醫美診所,27752088,臺北市松山區,臺北市松山區南京東路三段270號4樓,"西醫一般科,"
3701014327,松新牙醫診所,02-27662256,臺北市松山區,臺北市松山區八德路4段687號2樓及689號2樓,"牙醫一般科,"
3701013777,得意牙醫診所,27132377,臺北市松山區,臺北市松山區民權東路三段160巷22號2樓之2,"牙醫一般科,"
3701013491,華中牙醫診所,25450589,臺北市松山區,臺北市松山區南京東路四段１１７號,"牙醫一般科,"
3701011068,仁惠牙醫診所,225787185,臺北市松山區,臺北市松山區八德路三段74巷64號,"牙醫一般科,"
3801010205,振誠中醫診所,227625368,臺北市松山區,臺北市松山區撫遠街３６８號,"中醫一般科,"
