序號,行政區,院所名稱,卡介苗門診,幼兒常規,幼兒流感3歲以下,幼兒流感3歲以上,成人流感,COVID-19,肺炎鏈球菌,輪狀病毒,M痘門診,腸病毒門診,地址,電話,語音預約
1,63000010,長庚醫療財團法人台北長庚紀念醫院,1,1,1,1,1,1,1,1,1,1,臺北市松山區敦化北路199號,(02)27135211,
2,63000010,臺北市立聯合醫院附設松山門診部,1,1,1,1,1,1,1,1,,1,臺北市松山區八德路四段694號,(02)27653147,
3,63000010,三軍總醫院松山分院附設民眾診療服務處,,1,1,1,1,1,1,1,1,1,臺北市松山區健康路131號,(02)27642151,
4,63000010,基督復臨安息日會醫療財團法人臺安醫院,1,1,1,1,1,1,1,1,,,臺北市松山區八德路二段424號,(02)27718151,
5,63000010,江崇萍小兒科診所,,1,1,1,1,1,1,1,,1,臺北市松山區南京東路五段251巷24弄27號1樓,(02)27632260,
6,63000010,車參薇小兒科診所,,1,1,1,1,1,1,1,,1,臺北市松山區八德路三段195號１樓,(02)25770101,
7,63000010,博仁綜合醫院,,1,1,1,1,1,1,1,,,臺北市松山區光復北路66號,(02)25786677,
8,63000010,佑家診所,,1,1,1,1,1,1,1,,,臺北市松山區八德路三段233號,(02)25785658,
9,63000010,大家好診所,,1,1,1,1,1,1,,,,臺北市松山區民生東路四段80巷11弄2號1樓,(02)27138815,
10,63000010,閎新耳鼻喉科皮膚科聯合診所,,1,1,1,1,1,1,,,,臺北市松山區八德路三段20-2號1樓,(02)25779898,
11,63000010,劉內兒科診所,,1,1,1,1,1,1,,,,臺北市松山區民生東路五段148號1樓,(02)27603922,
12,63000010,安兒康小兒專科診所,,1,1,1,1,1,,1,,,臺北市松山區敦化北路118號1樓,(02)77287688,
13,63000010,心田民生診所,,1,1,1,1,1,,1,,,臺北市松山區民生東路五段105號1樓,(02)27653039,
14,63000010,弘宇診所,,,1,1,1,1,1,,,,臺北市松山區民權東路三段160巷2之6號,(02)27128875,
15,63000010,全煜耳鼻喉科診所,,1,,1,1,1,,,,,臺北市松山區復興北路73號2樓,(02)87729068,
16,63000010,弘光耳鼻喉科診所,,,1,,1,1,1,,,,臺北市松山區民生東路四段117號,(02)27181177,
17,63000010,吳慶南內科診所,,,,1,1,1,1,,,,臺北市松山區民生東路五段138號,(02)27659566,
18,63000010,宥全診所,,,,1,1,1,1,,,,臺北市松山區民生東路五段216號1樓,(02)27678225,
19,63000010,陳炳堅內科診所,,,,1,1,1,1,,,,臺北市松山區延壽街327號,(02)27637199,
20,63000010,駿昂耳鼻喉科診所,,,,1,1,1,1,,,,臺北市松山區八德路二段395號1樓,(02)87728086,
21,63000010,畇力診所,,,,1,1,,1,,,,臺北市松山區富錦街512號1樓,(02)27659022,
22,63000010,林忠志診所,,,,1,1,,1,,,,臺北市松山區南京東路五段291巷20弄3-3號,(02)27689577,
23,63000010,邱楠超診所,,,,1,,1,1,,,,臺北市松山區延吉街20號1樓,(02)25702296,
24,63000010,王躬仁診所,,,,,1,1,1,,,,臺北市松山區新中街12-3號1樓,(02)27646685,
25,63000010,民生翁耳鼻喉科診所,,,,,1,1,1,,,,臺北市松山區民生東路五段78號1樓,(02)27625922,
26,63000010,康瑞耳鼻喉科診所,,,,,1,1,1,,,,臺北市松山區八德路三段154號,(02)25782522,
27,63000010,江建中診所,,,,,1,1,1,,,,臺北市松山區八德路四段285號,(02)27647883,
